property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change,month,year,date
Semi-detached,West,16,22,72.73%,29,1.81,822700,6.37%,3.41%,3,2025,2025-03-01
Apartment,City Centre,263,469,56.08%,821,3.12,348000,-0.23%,-0.06%,4,2025,2025-04-01
Apartment,East,15,25,60.00%,35,2.33,248400,-1.70%,-1.70%,4,2025,2025-04-01
Apartment,North,49,89,55.06%,151,3.08,330200,-0.96%,0.55%,4,2025,2025-04-01
Apartment,North East,23,75,30.67%,166,7.22,297000,-2.08%,-1.59%,4,2025,2025-04-01
Apartment,North West,48,78,61.54%,126,2.63,316500,2.76%,0.06%,4,2025,2025-04-01
Apartment,South,64,115,55.65%,185,2.89,310800,0.55%,0.19%,4,2025,2025-04-01
Apartment,South East,69,131,52.67%,218,3.16,361100,-1.01%,0.17%,4,2025,2025-04-01
Apartment,West,58,103,56.31%,163,2.81,356300,3.31%,-0.08%,4,2025,2025-04-01
Detached,City Centre,121,197,61.42%,337,2.79,989600,4.79%,0.63%,4,2025,2025-04-01
Detached,East,38,64,59.38%,87,2.29,526300,0.40%,0.88%,4,2025,2025-04-01
Detached,North,131,269,48.70%,348,2.66,685400,0.32%,-1.32%,4,2025,2025-04-01
Detached,North East,118,271,43.54%,449,3.81,603800,-0.25%,-0.67%,4,2025,2025-04-01
Detached,North West,142,215,66.05%,232,1.63,809600,2.44%,0.05%,4,2025,2025-04-01
Detached,South,246,378,65.08%,447,1.82,746600,3.15%,0.50%,4,2025,2025-04-01
Detached,South East,196,306,64.05%,356,1.82,734100,2.00%,0.10%,4,2025,2025-04-01
Detached,West,108,200,54.00%,234,2.17,987500,3.20%,-0.47%,4,2025,2025-04-01
Row,City Centre,52,91,57.14%,116,2.23,616200,2.02%,0.93%,4,2025,2025-04-01
Row,East,14,30,46.67%,37,2.64,301400,4.69%,-1.08%,4,2025,2025-04-01
Row,North,64,112,57.14%,146,2.28,426500,-1.25%,0.42%,4,2025,2025-04-01
